Index,batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
69,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,98,54,8,208,10,10.88888889,0
70,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,97,53,8,208,9.940298507,10.98113208,0
71,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,96,53,8,208,10.02985075,10.86792453,0
72,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,94,52,8,208,10.05882353,10.84615385,0
73,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,93,51,8,208,10,10.94117647,0
74,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,92,50,7,208,9.942857143,11.04,0
75,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,91,49,7,208,9.887323944,11.14285714,0
76,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,90,48,7,208,9.833333333,11.25,0
77,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,89,47,7,208,9.780821918,11.36170213,0
78,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,87,46,7,208,9.810810811,11.34782609,0
79,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,86,45,7,208,9.76,11.46666667,0
80,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,44,7,208,9.947368421,11.18181818,0
81,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,43,6,208,9.818181818,11.44186047,0
82,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,42,6,208,9.692307692,11.71428571,0
83,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,82,41,6,208,9.569620253,12,0
84,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,81,40,6,208,9.525,12.15,0
85,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,80,39,6,208,9.481481481,12.30769231,0
86,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,80,38,5,208,9.365853659,12.63157895,0
87,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,79,37,5,208,9.325301205,12.81081081,0
88,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,78,36,5,208,9.285714286,13,0
89,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,77,35,5,208,9.247058824,13.2,0
90,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,76,34,5,208,9.209302326,13.41176471,0
91,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,76,33,5,208,9.103448276,13.81818182,0
92,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,76,32,5,208,9,14.25,0
93,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,75,31,5,208,8.966292135,14.51612903,0
94,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,69,30,5,208,9.266666667,13.8,0
95,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,69,29,5,208,9.164835165,14.27586207,0
96,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,63,28,5,208,9.456521739,13.5,0
97,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,62,27,5,208,9.419354839,13.77777778,0
98,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,62,26,5,208,9.319148936,14.30769231,0
99,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,58,25,5,208,9.473684211,13.92,0
100,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,57,24,5,208,9.4375,14.25,0
101,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,56,23,5,208,9.402061856,14.60869565,0
102,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,55,22,5,208,9.367346939,15,0
103,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,55,21,5,208,9.272727273,15.71428571,0
104,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,54,20,5,208,9.24,16.2,0
105,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,54,19,4,208,9.148514851,17.05263158,0
106,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,54,18,4,208,9.058823529,18,0
107,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,17,4,208,9.087378641,18.35294118,0
108,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,16,4,208,9,19.5,0
109,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,15,3,208,8.914285714,20.8,0
110,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,14,2,208,8.830188679,22.28571429,0
111,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,13,2,208,8.747663551,24,0
112,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,52,12,2,208,8.666666667,26,0
113,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,51,11,2,208,8.642201835,27.81818182,0
114,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,51,10,2,208,8.563636364,30.6,0
115,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,50,9,2,208,8.540540541,33.33333333,0
116,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,44,8,2,208,8.785714286,33,0
117,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,44,7,1,208,8.707964602,37.71428571,0
118,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,43,6,1,208,8.684210526,43,0
119,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,43,5,1,208,8.608695652,51.6,0
120,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,42,4,1,208,8.586206897,63,0
121,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,36,3,1,208,8.820512821,72,0
122,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,36,2,0,208,8.745762712,108,0
123,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,158,119,10,158,0,7.966386555,0
124,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,157,118,10,158,3,7.983050847,0
125,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,157,117,10,158,2,8.051282051,0
126,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,156,116,10,158,3,8.068965517,0
127,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,156,115,10,158,2.4,8.139130435,0
128,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,152,114,10,158,6,8,0
129,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,149,113,10,158,7.714285714,7.911504425,0
130,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,149,113,10,158,7.714285714,7.911504425,0
131,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,149,112,10,158,6.75,7.982142857,0
132,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,148,111,10,158,6.666666667,8,0
133,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,147,110,10,158,6.6,8.018181818,0
134,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,146,109,10,158,6.545454545,8.036697248,0
135,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,145,108,10,158,6.5,8.055555556,0
136,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,141,107,10,158,7.846153846,7.906542056,0
137,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,141,106,10,158,7.285714286,7.981132075,0
138,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,141,105,10,158,6.8,8.057142857,0
139,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,141,104,10,158,6.375,8.134615385,0
140,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,141,103,10,158,6,8.213592233,0
141,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,137,102,10,158,7,8.058823529,0
142,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,136,101,10,158,6.947368421,8.079207921,0
143,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,132,100,10,158,7.8,7.92,0
144,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,130,99,10,158,8,7.878787879,0
145,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,129,98,10,158,7.909090909,7.897959184,0
146,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,127,97,10,158,8.086956522,7.855670103,0
147,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,126,96,10,158,8,7.875,0
148,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,125,95,10,158,7.92,7.894736842,0
149,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,125,94,10,158,7.615384615,7.978723404,0
150,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,125,93,10,158,7.333333333,8.064516129,0
